Percentage served,Time in ms
0,0.601
1,0.712
2,0.752
3,0.841
4,0.878
5,0.904
6,0.943
7,0.976
8,0.988
9,1.002
10,1.015
11,1.026
12,1.048
13,1.053
14,1.073
15,1.088
16,1.099
17,1.105
18,1.110
19,1.124
20,1.133
21,1.142
22,1.144
23,1.153
24,1.161
25,1.162
26,1.175
27,1.183
28,1.192
29,1.202
30,1.208
31,1.212
32,1.233
33,1.242
34,1.248
35,1.262
36,1.267
37,1.271
38,1.282
39,1.286
40,1.300
41,1.310
42,1.325
43,1.347
44,1.353
45,1.354
46,1.369
47,1.378
48,1.386
49,1.392
50,1.396
51,1.403
52,1.410
53,1.415
54,1.430
55,1.435
56,1.444
57,1.457
58,1.476
59,1.487
60,1.493
61,1.501
62,1.515
63,1.537
64,1.547
65,1.566
66,1.581
67,1.592
68,1.627
69,1.635
70,1.670
71,1.679
72,1.699
73,1.709
74,1.724
75,1.749
76,1.779
77,1.791
78,1.825
79,1.860
80,1.872
81,1.896
82,1.903
83,1.933
84,1.953
85,1.983
86,2.036
87,2.096
88,2.111
89,2.159
90,2.192
91,2.233
92,2.278
93,2.346
94,2.435
95,2.520
96,2.616
97,2.731
98,28.102
99,28.405
